KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610301031,26,103,01,031,13.21,156.59,1.86,69.15,0.38,4.96,234.05,577.85,11.43
2610301032,26,103,01,032,14.41,171.16,1.86,66.47,0.39,5.05,231.2,590.2,12.22
2610301033,26,103,01,033,13.52,176.68,1.87,67.87,0.39,4.96,241.23,588.46,11.59
2610301034,26,103,01,034,14.86,168.17,1.87,68.12,0.38,5.05,240.0,568.18,13.25
2610301035,26,103,01,035,14.67,154.86,1.86,67.49,0.39,5.0,235.2,530.49,12.68
2610301036,26,103,01,036,13.69,171.0,1.83,66.4,0.39,4.98,231.75,573.28,11.81
2610301037,26,103,01,037,13.2,176.62,1.79,69.51,0.38,4.88,242.55,634.15,11.35
2610301038,26,103,01,038,11.91,178.59,1.89,79.55,0.36,4.8,245.81,709.76,10.49
2610301041,26,103,01,041,15.05,162.45,2.17,68.33,0.39,5.09,240.74,531.23,13.76
2610301042,26,103,01,042,15.13,166.73,2.11,68.12,0.39,5.09,244.04,526.42,13.05
2610301043,26,103,01,043,13.84,177.11,1.97,69.15,0.38,4.96,241.68,572.2,11.86
2610301044,26,103,01,044,13.08,178.95,2.14,71.76,0.38,4.89,242.37,628.19,11.13
2610301045,26,103,01,045,11.73,175.74,1.99,83.45,0.36,4.81,251.32,734.96,10.16
2610301046,26,103,01,046,12.44,178.3,1.95,77.99,0.38,4.83,259.07,698.98,10.44
2610301047,26,103,01,047,12.19,181.69,1.88,79.2,0.38,4.82,249.1,709.64,10.46
2610301048,26,103,01,048,11.57,191.24,1.81,82.06,0.36,4.79,248.51,687.54,10.31
2610301049,26,103,01,049,11.86,194.39,1.58,84.1,0.35,4.82,256.87,622.95,10.67
2610301050,26,103,01,050,11.69,193.3,1.69,83.22,0.36,4.83,258.64,674.48,10.42
2610301051,26,103,01,051,12.53,196.58,1.74,83.06,0.36,4.87,246.67,618.79,11.26
2610301052,26,103,01,052,11.27,197.52,1.86,85.38,0.35,4.78,253.23,671.95,10.46
2610301053,26,103,01,053,12.06,196.2,1.79,80.47,0.36,4.8,244.03,638.42,10.71
2610301901,26,103,01,901,11.51,177.76,1.82,81.23,0.36,4.88,256.45,707.53,10.6
2610301902,26,103,01,902,11.48,183.76,1.74,81.29,0.36,4.85,261.58,723.83,10.49
2610302001,26,103,02,001,11.18,197.33,1.92,83.85,0.36,4.76,264.63,691.72,10.28
2610400001,26,104,00,001,16.83,134.94,2.03,71.86,0.37,5.27,270.54,527.76,15.06
